product_id,warehouse_location,current_inventory_counts
SKU-1000,Manufacturer Warehouse Alpha,128.3
SKU-1000,Distributor Depot Beta,26.9
SKU-1001,Manufacturer Warehouse Alpha,154.6
SKU-1001,Distributor Depot Beta,10.7
SKU-1002,Manufacturer Warehouse Alpha,170.3
SKU-1002,Distributor Depot Beta,13.8
SKU-1003,Manufacturer Warehouse Alpha,170.7
SKU-1003,Distributor Depot Beta,58.7
SKU-1004,Manufacturer Warehouse Alpha,113.8
SKU-1004,Distributor Depot Beta,16.9
SKU-1005,Manufacturer Warehouse Alpha,84.9
SKU-1005,Distributor Depot Beta,91.3
SKU-1006,Manufacturer Warehouse Alpha,181.5
SKU-1006,Distributor Depot Beta,11.4
SKU-1007,Manufacturer Warehouse Alpha,50.8
SKU-1007,Distributor Depot Beta,68.9
SKU-1008,Manufacturer Warehouse Alpha,136.7
SKU-1008,Distributor Depot Beta,100.8
SKU-1009,Manufacturer Warehouse Alpha,106.3
SKU-1009,Distributor Depot Beta,107.5
SKU-1010,Manufacturer Warehouse Alpha,97.4
SKU-1010,Distributor Depot Beta,7.7
SKU-1011,Manufacturer Warehouse Alpha,113.9
SKU-1011,Distributor Depot Beta,43.2
SKU-1012,Manufacturer Warehouse Alpha,178.2
SKU-1012,Distributor Depot Beta,19.1
SKU-1013,Manufacturer Warehouse Alpha,141.8
SKU-1013,Distributor Depot Beta,50.1
SKU-1014,Manufacturer Warehouse Alpha,80.6
SKU-1014,Distributor Depot Beta,68.6
SKU-1015,Manufacturer Warehouse Alpha,122.4
SKU-1015,Distributor Depot Beta,19.0
SKU-1016,Manufacturer Warehouse Alpha,122.6
SKU-1016,Distributor Depot Beta,19.4
SKU-1017,Manufacturer Warehouse Alpha,166.1
SKU-1017,Distributor Depot Beta,23.4
SKU-1018,Manufacturer Warehouse Alpha,178.2
SKU-1018,Distributor Depot Beta,36.7
SKU-1019,Manufacturer Warehouse Alpha,84.5
SKU-1019,Distributor Depot Beta,76.6
SKU-1020,Manufacturer Warehouse Alpha,65.0
SKU-1020,Distributor Depot Beta,50.2
SKU-1021,Manufacturer Warehouse Alpha,100.8
SKU-1021,Distributor Depot Beta,60.5
SKU-1022,Manufacturer Warehouse Alpha,152.7
SKU-1022,Distributor Depot Beta,86.4
SKU-1023,Manufacturer Warehouse Alpha,194.7
SKU-1023,Distributor Depot Beta,112.2
SKU-1024,Manufacturer Warehouse Alpha,173.5
SKU-1024,Distributor Depot Beta,28.1
SKU-1025,Manufacturer Warehouse Alpha,115.3
SKU-1025,Distributor Depot Beta,90.5
SKU-1026,Manufacturer Warehouse Alpha,105.6
SKU-1026,Distributor Depot Beta,32.8
SKU-1027,Manufacturer Warehouse Alpha,107.6
SKU-1027,Distributor Depot Beta,20.3
SKU-1028,Manufacturer Warehouse Alpha,128.2
SKU-1028,Distributor Depot Beta,77.2
SKU-1029,Manufacturer Warehouse Alpha,58.6
SKU-1029,Distributor Depot Beta,105.6
SKU-1030,Manufacturer Warehouse Alpha,115.8
SKU-1030,Distributor Depot Beta,114.0
SKU-1031,Manufacturer Warehouse Alpha,189.6
SKU-1031,Distributor Depot Beta,44.7
SKU-1032,Manufacturer Warehouse Alpha,55.0
SKU-1032,Distributor Depot Beta,55.5
SKU-1033,Manufacturer Warehouse Alpha,154.8
SKU-1033,Distributor Depot Beta,39.1
SKU-1034,Manufacturer Warehouse Alpha,55.4
SKU-1034,Distributor Depot Beta,106.2
SKU-1035,Manufacturer Warehouse Alpha,196.3
SKU-1035,Distributor Depot Beta,119.9
SKU-1036,Manufacturer Warehouse Alpha,167.0
SKU-1036,Distributor Depot Beta,21.7
SKU-1037,Manufacturer Warehouse Alpha,110.8
SKU-1037,Distributor Depot Beta,100.7
SKU-1038,Manufacturer Warehouse Alpha,160.5
SKU-1038,Distributor Depot Beta,116.8
SKU-1039,Manufacturer Warehouse Alpha,132.4
SKU-1039,Distributor Depot Beta,70.8
SKU-1040,Manufacturer Warehouse Alpha,187.3
SKU-1040,Distributor Depot Beta,13.7
SKU-1041,Manufacturer Warehouse Alpha,172.3
SKU-1041,Distributor Depot Beta,104.3
SKU-1042,Manufacturer Warehouse Alpha,79.2
SKU-1042,Distributor Depot Beta,19.4
SKU-1043,Manufacturer Warehouse Alpha,89.2
SKU-1043,Distributor Depot Beta,17.7
SKU-1044,Manufacturer Warehouse Alpha,133.8
SKU-1044,Distributor Depot Beta,45.1
SKU-1045,Manufacturer Warehouse Alpha,192.1
