product_id,warehouse_location,current_inventory_counts
PUMP-AG001,Assembly Unit - Ludhiana,12.9
PUMP-AG001,State Depot - Chandigarh,42.9
PUMP-AG001,District Depot - Amritsar,38.1
PUMP-AG001,Village Dealer - Patiala,10.6
TRACTOR-AG002,Assembly Unit - Ludhiana,15.7
TRACTOR-AG002,State Depot - Chandigarh,8.0
TRACTOR-AG002,District Depot - Amritsar,32.7
TRACTOR-AG002,Village Dealer - Patiala,5.4
SPRAYER-AG003,Assembly Unit - Ludhiana,8.8
SPRAYER-AG003,State Depot - Chandigarh,35.3
SPRAYER-AG003,District Depot - Amritsar,37.7
SPRAYER-AG003,Village Dealer - Patiala,11.1
HARVESTER-AG004,Assembly Unit - Ludhiana,9.3
HARVESTER-AG004,State Depot - Chandigarh,10.1
HARVESTER-AG004,District Depot - Amritsar,26.2
HARVESTER-AG004,Village Dealer - Patiala,11.1
SEEDER-AG005,Assembly Unit - Ludhiana,10.5
SEEDER-AG005,State Depot - Chandigarh,41.3
SEEDER-AG005,District Depot - Amritsar,22.1
SEEDER-AG005,Village Dealer - Patiala,10.0
PLOW-AG006,Assembly Unit - Ludhiana,17.3
PLOW-AG006,State Depot - Chandigarh,39.6
PLOW-AG006,District Depot - Amritsar,37.3
PLOW-AG006,Village Dealer - Patiala,11.8
CULTIVATOR-AG007,Assembly Unit - Ludhiana,11.3
CULTIVATOR-AG007,State Depot - Chandigarh,57.1
CULTIVATOR-AG007,District Depot - Amritsar,38.6
CULTIVATOR-AG007,Village Dealer - Patiala,10.2
DRIP-AG008,Assembly Unit - Ludhiana,9.1
DRIP-AG008,State Depot - Chandigarh,58.6
DRIP-AG008,District Depot - Amritsar,37.4
DRIP-AG008,Village Dealer - Patiala,10.7
GREENHOUSE-AG009,Assembly Unit - Ludhiana,16.0
GREENHOUSE-AG009,State Depot - Chandigarh,44.2
GREENHOUSE-AG009,District Depot - Amritsar,24.6
GREENHOUSE-AG009,Village Dealer - Patiala,3.2
SILO-AG010,Assembly Unit - Ludhiana,10.8
SILO-AG010,State Depot - Chandigarh,64.0
SILO-AG010,District Depot - Amritsar,32.8
SILO-AG010,Village Dealer - Patiala,6.6
