product_id,warehouse_location,current_inventory_counts
PCB-1001,Manufacturer Plant - Pune,19.7
PCB-1001,Distributor Hub - Mumbai,95.9
PCB-1001,Distributor Hub - Hyderabad,3.6
PCB-1001,Regional Store - Chennai,43.0
CHARGER-2001,Manufacturer Plant - Pune,23.4
CHARGER-2001,Distributor Hub - Mumbai,91.2
CHARGER-2001,Distributor Hub - Hyderabad,4.3
CHARGER-2001,Regional Store - Chennai,42.6
ADAPTER-2002,Manufacturer Plant - Pune,22.6
ADAPTER-2002,Distributor Hub - Mumbai,89.1
ADAPTER-2002,Distributor Hub - Hyderabad,2.2
ADAPTER-2002,Regional Store - Chennai,24.5
BATTERY-3001,Manufacturer Plant - Pune,16.0
BATTERY-3001,Distributor Hub - Mumbai,92.6
BATTERY-3001,Distributor Hub - Hyderabad,6.0
BATTERY-3001,Regional Store - Chennai,34.2
CABLE-4001,Manufacturer Plant - Pune,25.8
CABLE-4001,Distributor Hub - Mumbai,96.2
CABLE-4001,Distributor Hub - Hyderabad,4.1
CABLE-4001,Regional Store - Chennai,28.1
MODEM-5001,Manufacturer Plant - Pune,21.8
MODEM-5001,Distributor Hub - Mumbai,99.4
MODEM-5001,Distributor Hub - Hyderabad,5.5
MODEM-5001,Regional Store - Chennai,28.1
ROUTER-5002,Manufacturer Plant - Pune,28.1
ROUTER-5002,Distributor Hub - Mumbai,91.6
ROUTER-5002,Distributor Hub - Hyderabad,4.6
ROUTER-5002,Regional Store - Chennai,36.0
SPEAKER-6001,Manufacturer Plant - Pune,26.7
SPEAKER-6001,Distributor Hub - Mumbai,94.4
SPEAKER-6001,Distributor Hub - Hyderabad,2.0
SPEAKER-6001,Regional Store - Chennai,29.5
EARPHONE-6002,Manufacturer Plant - Pune,27.5
EARPHONE-6002,Distributor Hub - Mumbai,91.7
EARPHONE-6002,Distributor Hub - Hyderabad,2.2
EARPHONE-6002,Regional Store - Chennai,42.2
LED-7001,Manufacturer Plant - Pune,16.0
LED-7001,Distributor Hub - Mumbai,97.1
LED-7001,Distributor Hub - Hyderabad,5.1
LED-7001,Regional Store - Chennai,25.0
