product_id,warehouse_location,current_inventory_counts
SHOE-101,Manufacturer Warehouse - Agra,24.5
SHOE-101,Distributor Depot - Delhi,96.0
SHOE-101,Distributor Depot - Jaipur,92.8
SHOE-101,Retailer Godown - Kanpur,28.4
SHOE-102,Manufacturer Warehouse - Agra,24.4
SHOE-102,Distributor Depot - Delhi,92.6
SHOE-102,Distributor Depot - Jaipur,82.4
SHOE-102,Retailer Godown - Kanpur,18.0
SHOE-103,Manufacturer Warehouse - Agra,31.8
SHOE-103,Distributor Depot - Delhi,97.1
SHOE-103,Distributor Depot - Jaipur,82.1
SHOE-103,Retailer Godown - Kanpur,27.1
CHAPPAL-201,Manufacturer Warehouse - Agra,39.1
CHAPPAL-201,Distributor Depot - Delhi,90.0
CHAPPAL-201,Distributor Depot - Jaipur,83.5
CHAPPAL-201,Retailer Godown - Kanpur,16.5
CHAPPAL-202,Manufacturer Warehouse - Agra,34.6
CHAPPAL-202,Distributor Depot - Delhi,93.0
CHAPPAL-202,Distributor Depot - Jaipur,97.6
CHAPPAL-202,Retailer Godown - Kanpur,20.7
SANDAL-301,Manufacturer Warehouse - Agra,37.2
SANDAL-301,Distributor Depot - Delhi,93.7
SANDAL-301,Distributor Depot - Jaipur,93.3
SANDAL-301,Retailer Godown - Kanpur,15.7
SANDAL-302,Manufacturer Warehouse - Agra,24.7
SANDAL-302,Distributor Depot - Delhi,86.5
SANDAL-302,Distributor Depot - Jaipur,86.4
SANDAL-302,Retailer Godown - Kanpur,24.5
BOOT-401,Manufacturer Warehouse - Agra,25.3
BOOT-401,Distributor Depot - Delhi,99.0
BOOT-401,Distributor Depot - Jaipur,92.4
BOOT-401,Retailer Godown - Kanpur,24.1
SLIPPER-501,Manufacturer Warehouse - Agra,27.6
SLIPPER-501,Distributor Depot - Delhi,99.8
SLIPPER-501,Distributor Depot - Jaipur,92.2
SLIPPER-501,Retailer Godown - Kanpur,23.4
SPORTS-601,Manufacturer Warehouse - Agra,24.6
SPORTS-601,Distributor Depot - Delhi,85.5
SPORTS-601,Distributor Depot - Jaipur,87.0
SPORTS-601,Retailer Godown - Kanpur,19.0
