product_id,factory_production_metrics,local_retail_sales,pending_shopkeeper_orders
SKU-1000,81.8,82.0,26.7
SKU-1001,127.4,131.4,22.6
SKU-1002,10.6,3.2,1.2
SKU-1003,119.3,117.3,41.0
SKU-1004,14.4,9.7,4.0
SKU-1005,133.1,72.8,32.7
SKU-1006,97.8,7.7,1.0
SKU-1007,106.6,88.7,30.3
SKU-1008,130.4,6.1,1.6
SKU-1009,11.6,5.8,3.1
SKU-1010,118.9,5.9,0.1
SKU-1011,70.9,49.6,17.8
SKU-1012,106.6,96.3,45.0
SKU-1013,54.8,26.3,9.0
SKU-1014,122.6,73.7,41.9
SKU-1015,58.5,28.1,18.9
SKU-1016,67.4,45.3,16.6
SKU-1017,72.9,44.2,11.0
SKU-1018,94.8,135.4,46.3
SKU-1019,100.6,4.5,2.7
SKU-1020,12.9,3.8,3.7
SKU-1021,127.4,4.0,1.8
SKU-1022,101.0,8.0,1.5
SKU-1023,132.9,128.9,24.6
SKU-1024,71.7,32.7,6.0
SKU-1025,21.9,8.1,1.3
SKU-1026,127.6,69.2,46.5
SKU-1027,128.4,3.4,0.9
SKU-1028,58.1,48.6,18.1
SKU-1029,138.6,6.3,1.5
SKU-1030,140.9,83.9,39.2
SKU-1031,46.1,42.9,13.1
SKU-1032,121.9,99.1,23.4
SKU-1033,133.9,6.8,0.9
SKU-1034,96.9,105.4,22.4
SKU-1035,26.3,14.7,2.7
SKU-1036,45.1,34.3,13.2
SKU-1037,116.4,5.2,2.9
SKU-1038,68.5,32.0,15.1
SKU-1039,111.9,4.6,0.4
SKU-1040,42.6,20.6,13.3
SKU-1041,40.3,41.2,5.9
SKU-1042,143.4,128.8,22.1
SKU-1043,51.1,34.6,13.1
SKU-1044,14.9,8.1,2.0
SKU-1045,86.8,94.5,32.7
SKU-1046,27.3,2.7,3.3
SKU-1047,84.2,118.3,44.0
SKU-1048,97.4,75.2,33.5
SKU-1049,13.7,8.0,4.4
SKU-1050,111.0,128.9,36.5
SKU-1051,125.7,103.2,20.4
SKU-1052,144.8,127.9,25.0
SKU-1053,19.6,13.2,4.5
SKU-1054,55.2,49.6,9.0
SKU-1055,15.7,11.1,3.7
SKU-1056,13.1,5.9,4.8
SKU-1057,132.4,64.6,37.5
SKU-1058,42.3,35.2,17.8
SKU-1059,121.7,114.0,27.1
SKU-1060,145.9,105.6,37.4
SKU-1061,123.4,93.5,37.5
SKU-1062,136.7,2.4,2.1
SKU-1063,50.6,23.9,14.7
SKU-1064,16.3,11.8,0.4
SKU-1065,22.4,9.3,0.5
SKU-1066,60.2,24.0,10.2
SKU-1067,141.5,89.6,24.7
SKU-1068,120.6,7.9,2.0
SKU-1069,126.8,104.4,48.0
SKU-1070,145.7,70.7,23.5
SKU-1071,132.0,72.4,28.5
SKU-1072,68.7,26.1,14.5
SKU-1073,115.3,2.8,2.7
SKU-1074,86.5,93.9,28.3
SKU-1075,103.3,70.5,49.4
SKU-1076,69.6,36.6,11.4
SKU-1077,87.8,135.6,40.7
SKU-1078,61.8,45.0,13.7
SKU-1079,57.2,21.3,10.5
SKU-1080,142.9,76.8,27.5
SKU-1081,104.8,104.8,46.2
SKU-1082,77.0,27.1,7.4
SKU-1083,75.3,20.7,16.0
SKU-1084,129.1,3.9,2.0
SKU-1085,50.7,43.6,6.6
SKU-1086,140.1,77.8,44.5
SKU-1087,17.0,12.7,4.4
SKU-1088,40.9,25.8,9.9
SKU-1089,147.7,82.3,39.2
SKU-1090,23.6,13.0,1.7
SKU-1091,88.1,137.6,25.4
SKU-1092,91.9,5.2,1.0
SKU-1093,111.8,7.9,0.3
SKU-1094,50.2,41.3,5.0
SKU-1095,54.6,22.1,15.0
SKU-1096,121.2,5.6,0.4
SKU-1097,115.4,5.7,1.0
SKU-1098,117.7,2.3,2.0
SKU-1099,23.5,13.7,3.1
SKU-1100,110.3,6.8,0.9
SKU-1101,57.2,37.4,14.8
SKU-1102,18.8,10.8,2.6
SKU-1103,66.4,28.5,15.0
SKU-1104,94.7,7.7,0.7
SKU-1105,101.2,2.4,0.1
SKU-1106,79.4,38.3,16.5
SKU-1107,18.3,10.2,1.0
SKU-1108,19.9,5.2,3.3
SKU-1109,142.5,128.8,46.6
SKU-1110,14.4,12.5,3.5
SKU-1111,11.0,5.2,4.2
SKU-1112,12.7,8.0,2.7
SKU-1113,137.5,7.2,1.8
SKU-1114,26.6,9.1,4.5
SKU-1115,19.0,11.8,4.2
SKU-1116,128.3,4.6,1.9
SKU-1117,112.0,6.0,0.7
SKU-1118,106.0,4.8,0.4
SKU-1119,55.3,24.6,8.2
SKU-1120,18.2,9.1,2.1
SKU-1121,73.3,31.7,16.5
SKU-1122,140.0,121.2,31.4
SKU-1123,146.0,83.9,31.7
SKU-1124,20.8,11.6,4.0
SKU-1125,59.5,28.2,12.3
SKU-1126,16.7,10.8,2.0
SKU-1127,73.6,47.6,19.7
SKU-1128,143.5,107.4,39.9
SKU-1129,125.0,70.9,33.9
SKU-1130,98.2,86.2,33.6
SKU-1131,128.1,3.7,2.3
SKU-1132,15.0,3.1,0.1
SKU-1133,150.0,88.0,39.5
SKU-1134,132.8,136.0,26.0
SKU-1135,123.5,79.1,34.2
SKU-1136,119.5,77.4,41.0
SKU-1137,98.4,5.3,2.2
SKU-1138,134.4,73.1,29.3
SKU-1139,145.0,106.1,47.2
SKU-1140,17.9,11.3,0.4
SKU-1141,44.1,43.2,17.8
SKU-1142,135.7,105.3,21.2
SKU-1143,23.2,2.9,3.2
SKU-1144,139.5,125.8,23.2
SKU-1145,121.8,6.8,2.1
SKU-1146,13.5,8.8,3.3
SKU-1147,19.3,12.7,3.0
SKU-1148,132.6,6.8,0.3
SKU-1149,14.9,8.0,3.1
SKU-1150,16.7,8.4,1.6
SKU-1151,14.2,12.4,1.7
SKU-1152,117.8,4.6,0.6
SKU-1153,68.8,34.7,16.4
SKU-1154,22.9,8.4,4.0
SKU-1155,100.6,92.4,27.3
SKU-1156,113.7,4.7,1.3
SKU-1157,107.6,4.2,0.9
SKU-1158,44.8,25.8,6.8
SKU-1159,47.7,42.2,9.1
SKU-1160,139.0,6.8,0.9
SKU-1161,99.0,1.1,1.6
SKU-1162,92.3,1.4,0.9
SKU-1163,65.5,42.6,6.5
SKU-1164,120.2,97.6,33.2
SKU-1165,78.6,27.6,17.9
SKU-1166,137.5,92.1,22.2
SKU-1167,90.6,124.9,48.5
SKU-1168,149.6,69.5,42.9
SKU-1169,71.0,31.4,18.6
SKU-1170,133.0,7.9,0.9
SKU-1171,122.7,119.2,48.4
SKU-1172,65.0,27.9,6.2
SKU-1173,47.0,22.3,5.0
SKU-1174,23.8,8.1,0.2
SKU-1175,125.3,5.9,1.4
SKU-1176,77.0,43.6,14.4
SKU-1177,57.0,36.3,14.7
SKU-1178,131.3,1.5,0.5
SKU-1179,119.8,6.8,2.8
SKU-1180,12.5,11.0,3.5
SKU-1181,115.0,4.5,0.2
SKU-1182,142.3,118.8,38.1
SKU-1183,86.4,137.0,45.1
SKU-1184,150.0,113.8,28.1
SKU-1185,133.4,74.0,35.6
SKU-1186,28.3,4.4,2.9
SKU-1187,29.4,8.1,2.0
SKU-1188,123.5,7.0,1.0
SKU-1189,15.8,14.3,4.1
SKU-1190,111.8,85.2,29.7
SKU-1191,27.3,12.7,0.0
SKU-1192,18.3,4.4,1.8
SKU-1193,22.5,11.9,1.0
SKU-1194,77.1,33.1,15.5
SKU-1195,82.0,110.4,44.0
SKU-1196,52.4,20.4,11.1
SKU-1197,79.7,47.4,11.9
SKU-1198,125.3,72.3,48.0
SKU-1199,115.4,2.9,2.5
SKU-1200,14.9,9.2,1.9
SKU-1201,74.6,28.3,16.9
SKU-1202,16.8,12.2,1.3
SKU-1203,99.8,83.9,37.6
SKU-1204,27.3,7.8,2.4
SKU-1205,117.6,4.8,1.4
SKU-1206,133.5,7.9,0.7
SKU-1207,14.7,12.1,0.2
SKU-1208,24.1,12.5,1.9
SKU-1209,59.8,21.1,12.5
SKU-1210,133.5,7.1,1.3
SKU-1211,10.3,3.9,4.4
SKU-1212,43.0,43.4,9.0
SKU-1213,23.0,13.1,4.3
SKU-1214,29.1,10.1,4.4
SKU-1215,27.4,2.5,0.3
SKU-1216,139.9,6.2,1.3
SKU-1217,133.2,116.3,23.0
SKU-1218,67.8,47.1,5.7
SKU-1219,100.5,90.0,24.4
SKU-1220,21.3,12.3,0.8
SKU-1221,122.7,90.6,40.5
SKU-1222,28.3,3.9,2.3
SKU-1223,113.0,5.7,2.7
SKU-1224,28.0,10.8,0.8
SKU-1225,28.9,14.8,1.5
SKU-1226,23.8,7.9,1.5
SKU-1227,27.1,3.4,1.9
SKU-1228,118.7,7.9,0.9
SKU-1229,15.5,9.4,3.4
SKU-1230,143.7,119.6,45.0
SKU-1231,128.8,2.6,2.4
SKU-1232,65.5,38.6,15.2
SKU-1233,65.1,47.1,14.7
SKU-1234,129.4,1.2,1.1
SKU-1235,43.6,28.9,16.2
SKU-1236,48.0,43.6,18.1
SKU-1237,116.5,7.4,2.5
SKU-1238,135.7,7.6,2.9
SKU-1239,127.3,3.4,0.3
SKU-1240,89.9,137.3,45.8
SKU-1241,29.3,12.5,1.8
SKU-1242,10.3,9.0,2.3
SKU-1243,119.2,6.8,2.8
SKU-1244,127.2,97.7,38.6
SKU-1245,135.8,2.5,0.2
SKU-1246,28.2,5.9,2.0
SKU-1247,41.8,21.1,19.9
SKU-1248,86.8,131.0,24.1
SKU-1249,17.4,14.3,3.5
SKU-1250,21.7,11.4,4.4
SKU-1251,138.4,109.3,48.2
SKU-1252,91.6,3.6,1.3
SKU-1253,74.2,23.0,15.3
SKU-1254,93.0,2.9,2.9
SKU-1255,11.8,4.8,3.2
SKU-1256,83.5,86.7,49.7
SKU-1257,42.7,43.0,8.1
SKU-1258,72.5,27.0,16.6
SKU-1259,99.4,138.7,49.6
SKU-1260,129.9,1.8,2.6
SKU-1261,40.6,43.7,8.6
SKU-1262,90.8,2.9,0.4
SKU-1263,20.5,11.7,2.4
SKU-1264,115.7,1.8,1.5
SKU-1265,130.9,132.7,39.8
SKU-1266,112.9,7.7,0.2
SKU-1267,26.9,7.5,0.5
SKU-1268,11.5,3.1,3.0
SKU-1269,88.8,109.9,37.6
