product_id,warehouse_location,current_inventory_counts
COTTON-T001,Weaving Mill - Surat,16.3
COTTON-T001,Distributor Godown - Ahmedabad,99.4
COTTON-T001,Distributor Godown - Mumbai,94.9
COTTON-T001,Retail Showroom - Pune,6.9
POLYESTER-T002,Weaving Mill - Surat,24.5
POLYESTER-T002,Distributor Godown - Ahmedabad,93.7
POLYESTER-T002,Distributor Godown - Mumbai,88.1
POLYESTER-T002,Retail Showroom - Pune,8.2
SILK-T003,Weaving Mill - Surat,22.8
SILK-T003,Distributor Godown - Ahmedabad,87.4
SILK-T003,Distributor Godown - Mumbai,94.4
SILK-T003,Retail Showroom - Pune,3.6
LINEN-T004,Weaving Mill - Surat,13.5
LINEN-T004,Distributor Godown - Ahmedabad,86.8
LINEN-T004,Distributor Godown - Mumbai,93.4
LINEN-T004,Retail Showroom - Pune,4.7
DENIM-T005,Weaving Mill - Surat,18.8
DENIM-T005,Distributor Godown - Ahmedabad,92.8
DENIM-T005,Distributor Godown - Mumbai,94.0
DENIM-T005,Retail Showroom - Pune,4.4
GEORGETTE-T006,Weaving Mill - Surat,20.1
GEORGETTE-T006,Distributor Godown - Ahmedabad,89.5
GEORGETTE-T006,Distributor Godown - Mumbai,84.7
GEORGETTE-T006,Retail Showroom - Pune,8.3
RAYON-T007,Weaving Mill - Surat,24.9
RAYON-T007,Distributor Godown - Ahmedabad,86.1
RAYON-T007,Distributor Godown - Mumbai,83.2
RAYON-T007,Retail Showroom - Pune,4.9
KHADI-T008,Weaving Mill - Surat,15.5
KHADI-T008,Distributor Godown - Ahmedabad,87.4
KHADI-T008,Distributor Godown - Mumbai,92.5
KHADI-T008,Retail Showroom - Pune,7.9
LYCRA-T009,Weaving Mill - Surat,10.1
LYCRA-T009,Distributor Godown - Ahmedabad,97.3
LYCRA-T009,Distributor Godown - Mumbai,84.5
LYCRA-T009,Retail Showroom - Pune,7.6
WOOL-T010,Weaving Mill - Surat,11.6
WOOL-T010,Distributor Godown - Ahmedabad,93.3
WOOL-T010,Distributor Godown - Mumbai,84.1
WOOL-T010,Retail Showroom - Pune,7.2
